Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
68458,"Krew elfów (Saga o Wiedźminie, #3)",Andrzej Sapkowski,"Sapkowski, Andrzej",,8370540791,9788370540791,4,4.23,,Paperback,295,,1994,03/09/2017,03/09/2017,,,read,,,,1,,,0,,,,,
25125654,"Sword of Destiny (The Witcher, #2)",Andrzej Sapkowski,"Sapkowski, Andrzej",David French,,,5,4.4,Gollancz,Kindle Edition,385,2015,1993,03/09/2017,11/08/2017,,,read,,,,1,,,0,,,,,
1128434,The Last Wish,Andrzej Sapkowski,"Sapkowski, Andrzej",Danusia Stok,0575077832,9780575077836,5,4.2,Gollancz,Hardcover,384,2007,1993,11/08/2017,11/08/2017,,,read,,,,1,,,0,,,,,
25372801,All the Birds in the Sky,Charlie Jane Anders,"Anders, Charlie Jane",,0765379945,9780765379948,4,3.57,Tor Books,Hardcover,320,2016,2016,08/08/2017,08/08/2017,,,read,,,,1,,,0,,,,,
23308084,"The Rose & the Dagger (The Wrath and the Dawn, #2)",Renee Ahdieh,"Ahdieh, Renee",,0399171622,9780399171628,3,4.18,G.P. Putnam's Sons Books for Young Readers,Hardcover,416,2016,2016,06/08/2017,06/08/2017,,,read,,,,1,,,0,,,,,
18798983,"The Wrath and the Dawn (The Wrath and the Dawn, #1)",Renee Ahdieh,"Ahdieh, Renee",,0399171614,9780399171611,4,4.18,G.P. Putnam's Sons Books for Young Readers,Hardcover,404,2015,2015,06/08/2017,06/08/2017,,,read,,,,1,,,0,,,,,
31522139,"City of Miracles (The Divine Cities, #3)",Robert Jackson Bennett,"Bennett, Robert Jackson",,0553419730,9780553419733,4,4.45,Broadway Books,Paperback,451,2017,2017,03/08/2017,04/08/2017,,,read,,,,1,,,0,,,,,
23909755,"City of Blades (The Divine Cities, #2)",Robert Jackson Bennett,"Bennett, Robert Jackson",,0553419714,9780553419719,5,4.23,Broadway Books,Paperback,484,2016,2016,01/08/2017,01/08/2017,,,read,,,,2,,,0,,,,,
20174424,"City of Stairs (The Divine Cities, #1)",Robert Jackson Bennett,"Bennett, Robert Jackson",,080413717X,9780804137171,5,4.12,Broadway Books,Paperback,452,2014,2014,29/07/2017,30/07/2017,,,read,,,,1,,,0,,,,,
28145767,"Strange the Dreamer (Strange the Dreamer, #1)",Laini Taylor,"Taylor, Laini",,,,5,4.39,"Little, Brown Books for Young Readers",Kindle Edition,528,2017,2017,20/07/2017,11/07/2016,,,read,,,,1,,,0,,,,,
22817331,"Now I Rise (The Conqueror's Saga, #2)",Kiersten White,"White, Kiersten",,0553522353,9780553522358,4,4.25,Delacorte Press,Hardcover,471,2017,2017,20/07/2017,10/07/2016,,,read,,,,2,,,0,,,,,
30192366,"Wrath (The Faithful and the Fallen, #4)",John Gwynne,"Gwynne, John",,,,5,4.47,Pan,Kindle Edition,720,2016,2016,18/07/2017,09/07/2017,,,read,,,,1,,,0,,,,,
25155602,"Ruin (The Faithful and the Fallen, #3)",John Gwynne,"Gwynne, John",,,,4,4.42,Tor,Kindle Edition,672,2015,2015,09/07/2017,04/07/2017,,,read,,,,1,,,0,,,,,
21324349,"Valour (The Faithful and the Fallen, #2)",John Gwynne,"Gwynne, John",,,,4,4.37,Pan,Kindle Edition,669,2014,2014,04/07/2017,30/06/2017,,,read,,,,1,,,0,,,,,
16300835,"Malice (The Faithful and the Fallen, #1)",John Gwynne,"Gwynne, John",,,,4,4.12,Pan,Kindle Edition,641,2012,2012,30/06/2017,23/06/2017,,,read,,,,1,,,0,,,,,
33590260,"Untitled (Throne of Glass, #7)",Sarah J. Maas,"Maas, Sarah J.",,1619636107,9781619636101,0,4.62,Bloomsbury YA,Hardcover,702,2018,2018,,22/06/2017,to-read,to-read (#13),to-read,,,,0,,,0,,,,,
31450852,"Tower of Dawn (Throne of Glass, #6)",Sarah J. Maas,"Maas, Sarah J.",,1681195771,9781681195773,0,4.48,Bloomsbury USA Childrens,Hardcover,664,2017,2017,,22/06/2017,to-read,to-read (#12),to-read,,,,0,,,0,,,,,
18006496,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,"Maas, Sarah J.",,1619636042,9781619636040,3,4.6,Bloomsbury USA Childrens,Hardcover,648,2015,2015,19/06/2017,19/06/2017,,,read,,,,1,,,0,,,,,
28260587,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,"Maas, Sarah J.",,1619636077,9781619636071,4,4.58,Bloomsbury Children's Books,Hardcover,693,2016,2016,22/06/2017,22/06/2017,,,read,,,,1,,,0,,,,,
20613470,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,"Maas, Sarah J.",,1619630656,9781619630659,3,4.52,Bloomsbury USA Childrens,Hardcover,565,2014,2014,17/06/2017,17/06/2017,,,read,,,,1,,,0,,,,,
17167166,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,"Maas, Sarah J.",,1619630621,9781619630628,4,4.48,Bloomsbury USA Childrens,Hardcover,418,2013,2013,14/06/2017,14/06/2017,,,read,,,,1,,,0,,,,,
7896527,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,"Maas, Sarah J.",,1599906953,9781599906959,3,4.23,Bloomsbury USA Children's,Hardcover,404,2012,2012,13/06/2017,13/06/2017,,,read,,,,1,,,0,,,,,
34348998,"Mira's Last Dance (Penric and Desdemona, #4)",Lois McMaster Bujold,"Bujold, Lois McMaster",,,,4,4.28,"Spectrum Literary Agency, Inc",Kindle Edition,87,2017,2017,11/06/2017,10/06/2017,,,read,,,,1,,,0,,,,,
32858701,"Penric’s Mission (Penric and Desdemona, #3)",Lois McMaster Bujold,"Bujold, Lois McMaster",,,,4,4.36,"Spectrum Literary Agency, Inc",Kindle Edition,145,2016,2016,10/06/2017,10/06/2017,,,read,,,,1,,,0,,,,,
